"검색조건 - 사고년도:2015~2017; 사고지역:서울특별시 :: 전체 :: ; 사고내용:사망사고, 중상사고, 경상사고, 부상신고; 음주운전 사고",,,,,,,,,,,,,,,,,,,,,
사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2015011000100480,2015년 1월 10일 19시,토요일,서울특별시 송파구 잠실동,중상사고,0,2,3,0,차대차 - 추돌 - 주정차중,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,52세,상해없음,승용,남,34세,중상
2015011100100034,2015년 1월 11일 02시,일요일,서울특별시 성북구 장위동,사망사고,1,0,0,0,차대차 - 추돌 - 주정차중,안전운전불이행,건조,맑음,단일로 - 기타,이륜,남,28세,사망,승합,남,45세,기타불명
2015011100100038,2015년 1월 11일 02시,일요일,서울특별시 서초구 방배동,부상신고사고,0,0,0,1,차대차 - 측면직각충돌,안전운전불이행,건조,맑음,단일로 - 기타,이륜,남,27세,부상신고,승용,남,32세,상해없음
2015011100100052,2015년 1월 11일 03시,일요일,서울특별시 금천구 독산동,경상사고,0,0,1,0,차대차 - 추돌 - 주정차중,안전운전불이행,건조,맑음,교차로 - 교차로부근,화물,남,34세,상해없음,승용,남,53세,경상
2015011100100096,2015년 1월 11일 07시,일요일,서울특별시 용산구 이태원동,경상사고,0,0,3,0,차대차 - 추돌 - 진행중,과속,건조,맑음,단일로 - 기타,승용,여,23세,경상,승용,남,65세,경상
2015011100100139,2015년 1월 11일 09시,일요일,서울특별시 종로구 연지동,중상사고,0,1,0,0,차대차 - 추돌 - 진행중,안전거리미확보,건조,맑음,교차로 - 교차로안,화물,남,28세,상해없음,승용,여,59세,중상
2015011100100141,2015년 1월 11일 09시,일요일,서울특별시 관악구 신림동,경상사고,0,0,2,0,차대차 - 측면직각충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,22세,상해없음,승용,남,35세,경상
2015011100100142,2015년 1월 11일 09시,일요일,서울특별시 도봉구 쌍문동,중상사고,0,1,1,0,차대차 - 추돌 - 진행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,21세,상해없음,승용,남,32세,경상
2015011100100143,2015년 1월 11일 09시,일요일,서울특별시 강남구 세곡동,중상사고,0,2,0,0,차대차 - 추돌 - 주정차중,신호위반,건조,맑음,단일로 - 기타,승용,남,20세 이하,중상,승합,남,62세,중상
2015011100100415,2015년 1월 11일 20시,일요일,서울특별시 강동구 강일동,경상사고,0,0,1,0,차대차 - 추돌 - 주정차중,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,50세,상해없음,승용,남,43세,상해없음
2015011200100001,2015년 1월 12일 00시,월요일,서울특별시 영등포구 양평동3가,경상사고,0,0,2,0,차대차 - 추돌 - 주정차중,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,34세,상해없음,승용,여,34세,경상
2015011200100011,2015년 1월 12일 02시,월요일,서울특별시 서대문구 홍은동,부상신고사고,0,0,0,1,차대사람 - 기타,기타,건조,맑음,단일로 - 기타,이륜,남,25세,상해없음,보행자,남,38세,부상신고
2015011200100024,2015년 1월 12일 05시,월요일,서울특별시 서초구 방배동,부상신고사고,0,0,0,1,차량단독 - 전도전복,안전운전불이행,건조,흐림,단일로 - 기타,이륜,남,23세,부상신고,,,,
2015011200100029,2015년 1월 12일 06시,월요일,서울특별시 구로구 오류동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,단일로 - 횡단보도상,승합,남,60세,상해없음,보행자,남,56세,중상
2015011200100247,2015년 1월 12일 14시,월요일,서울특별시 강서구 염창동,경상사고,0,0,2,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,43세,상해없음,승용,남,58세,경상
2015011300100005,2015년 1월 13일 00시,화요일,서울특별시 동작구 사당동,경상사고,0,0,1,0,차대차 - 추돌 - 진행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,41세,상해없음,승용,남,56세,경상
2015011300100018,2015년 1월 13일 01시,화요일,서울특별시 강동구 성내동,중상사고,0,1,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,38세,상해없음,승용,여,28세,기타불명
2015011300100019,2015년 1월 13일 01시,화요일,서울특별시 송파구 방이동,중상사고,0,1,1,0,차대차 - 측면직각충돌,중앙선침범,건조,맑음,교차로 - 교차로안,승용,남,32세,상해없음,승용,남,68세,중상
2015011300100029,2015년 1월 13일 02시,화요일,서울특별시 종로구 세종로,중상사고,0,1,0,0,차대차 - 측면직각충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,48세,상해없음,승용,여,44세,중상
2015011300100037,2015년 1월 13일 03시,화요일,서울특별시 금천구 시흥동,경상사고,0,0,1,0,차대차 - 측면직각충돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,22세,상해없음,승용,남,51세,상해없음
2015011300100043,2015년 1월 13일 04시,화요일,서울특별시 중구 신당동,경상사고,0,0,5,0,차대차 - 추돌 - 진행중,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,31세,상해없음,승합,남,31세,경상
2015011300100044,2015년 1월 13일 04시,화요일,서울특별시 용산구 이태원동,중상사고,0,2,0,0,차대차 - 정면충돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,28세,중상,화물,남,57세,중상
2015011300100045,2015년 1월 13일 04시,화요일,서울특별시 관악구 신림동,경상사고,0,0,2,0,차대차 - 추돌 - 진행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,35세,상해없음,승용,남,56세,경상
2015011300100046,2015년 1월 13일 04시,화요일,서울특별시 노원구 공릉동,중상사고,0,1,0,0,차량단독 - 공작물충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,47세,중상,,,,
2015011300100374,2015년 1월 13일 18시,화요일,서울특별시 강동구 둔촌동,경상사고,0,0,2,0,차대차 - 추돌 - 주정차중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,46세,상해없음,화물,남,46세,경상
2015011300100470,2015년 1월 13일 21시,화요일,서울특별시 강북구 번동,경상사고,0,0,3,0,차대차 - 추돌 - 진행중,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,30세,상해없음,승용,남,63세,경상
2015011300100473,2015년 1월 13일 21시,화요일,서울특별시 동작구 대방동,중상사고,0,2,2,0,차대차 - 추돌 - 주정차중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,59세,기타불명,승용,남,32세,중상
2015011300100476,2015년 1월 13일 21시,화요일,서울특별시 노원구 공릉동,경상사고,0,0,4,0,차대차 - 추돌 - 주정차중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,40세,상해없음,승용,남,26세,경상
2015011300100503,2015년 1월 13일 22시,화요일,서울특별시 강동구 둔촌동,경상사고,0,0,1,0,차대차 - 추돌 - 진행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,51세,상해없음,승용,여,28세,경상
2015011400100004,2015년 1월 14일 00시,수요일,서울특별시 강남구 신사동,경상사고,0,0,1,0,차대차 - 추돌 - 주정차중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,27세,상해없음,승용,남,52세,경상
2015011400100203,2015년 1월 14일 13시,수요일,서울특별시 마포구 합정동,경상사고,0,0,4,0,차대차 - 측면직각충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,32세,상해없음,승합,남,61세,경상
