"검색조건 - 사고년도:2014~2014; 사고지역:서울특별시 :: 전체 :: ; 사고내용:사망사고, 중상사고, 경상사고, 부상신고; 음주운전 사고",,,,,,,,,,,,,,,,,,,,,
사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2014011200100038,2014년 1월 12일 02시,일요일,서울특별시 관악구 신림동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,21세,상해없음,승용,남,33세,경상
2014011200100041,2014년 1월 12일 02시,일요일,서울특별시 구로구 고척동,중상사고,0,1,2,2,차대차 - 추돌 - 주정차중,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,24세,상해없음,승용,남,67세,중상
2014011200100072,2014년 1월 12일 04시,일요일,서울특별시 서대문구 연희동,중상사고,0,1,2,0,차대차 - 측면직각충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,24세,상해없음,승용,남,52세,중상
2014011200100120,2014년 1월 12일 09시,일요일,서울특별시 금천구 시흥동,경상사고,0,0,2,0,차대차 - 측면직각충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,54세,상해없음,승합,남,47세,경상
2014011200100129,2014년 1월 12일 10시,일요일,서울특별시 광진구 중곡동,경상사고,0,0,2,0,차대차 - 추돌 - 진행중,신호위반,건조,맑음,교차로 - 교차로안,승용,남,31세,상해없음,승용,남,64세,경상
2014011200100208,2014년 1월 12일 15시,일요일,서울특별시 광진구 자양동,경상사고,0,0,5,0,차대차 - 추돌 - 진행중,안전운전불이행,건조,맑음,미분류 - 미분류,승용,남,24세,상해없음,승용,남,40세,경상
2014011200100320,2014년 1월 12일 20시,일요일,서울특별시 마포구 상암동,경상사고,0,0,2,0,차대차 - 추돌 - 진행중,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,여,50세,상해없음,승용,남,60세,상해없음
2014011300100010,2014년 1월 13일 01시,월요일,서울특별시 강남구 역삼동,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,33세,상해없음,승용,남,53세,상해없음
2014011300100046,2014년 1월 13일 06시,월요일,서울특별시 노원구 하계동,경상사고,0,0,1,0,차대차 - 추돌 - 진행중,안전거리미확보,건조,맑음,교차로 - 교차로부근,승용,여,36세,상해없음,승용,남,41세,경상
2014011300100082,2014년 1월 13일 08시,월요일,서울특별시 마포구 합정동,경상사고,0,0,3,0,차대차 - 추돌 - 진행중,안전운전불이행,건조,맑음,단일로 - 터널,승용,남,29세,상해없음,승용,남,40세,경상
2014011300100465,2014년 1월 13일 23시,월요일,서울특별시 관악구 신림동,중상사고,0,1,0,0,차량단독 - 전도전복,기타,습기,맑음,단일로 - 기타,이륜,남,22세,중상,,,,
2014011400100039,2014년 1월 14일 05시,화요일,서울특별시 강남구 일원동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,32세,상해없음,승용,남,52세,경상
2014011400100470,2014년 1월 14일 23시,화요일,서울특별시 성북구 장위동,중상사고,0,1,1,0,차대차 - 추돌 - 진행중,안전거리미확보,건조,맑음,교차로 - 교차로부근,승용,남,27세,상해없음,승용,남,57세,중상
2014011500100001,2014년 1월 15일 00시,수요일,서울특별시 중구 신당동,경상사고,0,0,2,0,차대차 - 추돌 - 주정차중,안전운전불이행,건조,맑음,교차로 - 교차로부근,승합,남,51세,상해없음,승용,여,20세,경상
2014011500100002,2014년 1월 15일 00시,수요일,서울특별시 영등포구 여의도동,경상사고,0,0,2,0,차대차 - 추돌 - 진행중,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,47세,상해없음,승용,남,58세,경상
2014011500100049,2014년 1월 15일 05시,수요일,서울특별시 강남구 역삼동,중상사고,0,1,0,0,차대사람 - 길가장자리구역통행중,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,32세,상해없음,보행자,남,43세,중상
2014011500100050,2014년 1월 15일 05시,수요일,서울특별시 서초구 잠원동,경상사고,0,0,1,0,차대차 - 정면충돌,중앙선침범,건조,맑음,미분류 - 미분류,승용,남,22세,상해없음,승용,남,62세,경상
2014011500100464,2014년 1월 15일 21시,수요일,서울특별시 성북구 보문동4가,경상사고,0,0,1,0,차대차 - 추돌 - 진행중,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,38세,상해없음,승용,남,48세,경상
